,phrase,label,sentiment,subjectivity,language,count
Ukraine,Ukraine,GPE,0.04249849146853585,0.2728114848935854,en,1859
Russia,Russia,GPE,0.02907092812825296,0.27994154592491377,en,1413
Iran,Iran,GPE,0.03005933668311281,0.2747936119452585,en,963
US,US,GPE,0.04796447867274513,0.2669149884544145,en,712
China,China,GPE,0.04928233314936501,0.2663196691533345,en,502
Moscow,Moscow,GPE,0.014889285813053831,0.24353585077558382,en,487
U.S.,U.S.,GPE,0.03583697002386321,0.2575731792479366,en,412
Kyiv,Kyiv,GPE,-0.0013943756907714,0.2265446130783555,en,326
UK,UK,GPE,0.06975836299481403,0.2609872190422889,en,286
Europe,Europe,LOC,0.06894164977364547,0.303388377767725,en,267
Israel,Israel,GPE,0.04376236560485116,0.2577047310428814,en,173
Kiev,Kiev,GPE,0.035531538717415344,0.2701944362455725,en,154
the United States,the United States,GPE,0.06396239492830397,0.30584163311436025,en,143
France,France,GPE,0.04437461055358783,0.26441789376448455,en,132
Germany,Germany,GPE,0.03878062435439485,0.2583987513700628,en,122
India,India,GPE,0.10723703641236108,0.29431180075335917,en,110
MOSCOW,MOSCOW,GPE,0.04037972155159659,0.1944473264004515,en,104
Pakistan,Pakistan,GPE,0.013092085907619863,0.22715662169545656,en,103
Washington,Washington,GPE,0.05753835606928393,0.31542478045055344,en,97
Tehran,Tehran,GPE,0.00949701730114101,0.2483852528723663,en,97
the Strait of Hormuz,the Strait of Hormuz,LOC,-0.002346906565656569,0.2702542350589226,en,96
Spain,Spain,GPE,0.09210742214774474,0.3967127690111561,en,93
England,England,GPE,0.10351222686044118,0.28504110142503003,en,84
Britain,Britain,GPE,0.056871364018741925,0.2771397898364445,en,79
Odesa,Odesa,GPE,0.00465978835978836,0.15960696649029982,en,75
Yemen,Yemen,GPE,0.016844837261503928,0.25477397987814654,en,72
Sputnik,Sputnik,GPE,0.05347897570608837,0.25414774420936403,en,71
USA,USA,GPE,0.07774873206858499,0.32204330595874703,en,68
Gaza,Gaza,GPE,0.030347195696460397,0.2719191653934302,en,68
Saudi Arabia,Saudi Arabia,GPE,-0.0004894726485635556,0.29662944378853473,en,66
Donetsk,Donetsk,GPE,0.14423750620039683,0.3325909908234129,en,64
Türkiye,Türkiye,GPE,0.0842145090359376,0.25488544744497127,en,63
Australia,Australia,GPE,0.13052297165200397,0.30452770795512735,en,62
Poland,Poland,GPE,-0.0012130376344086028,0.31840437788018433,en,62
Donbass,Donbass,GPE,0.1608159794954149,0.3697005917469629,en,62
Turkey,Turkey,GPE,0.0192954449921663,0.2415505305259403,en,61
Canada,Canada,GPE,0.07193813821272836,0.31274881326930504,en,61
Arctic,Arctic,LOC,0.10947162097162103,0.3791561494061494,en,60
Black Sea,Black Sea,LOC,-0.07240975126568348,0.2937578060671281,en,59
Beijing,Beijing,GPE,0.09757822586769954,0.3406681281681283,en,57
Argentina,Argentina,GPE,0.040532598714416904,0.2788613406795225,en,55
Switzerland,Switzerland,GPE,0.04633838383838384,0.3121280991735537,en,55
WASHINGTON,WASHINGTON,GPE,0.07570813959702848,0.30679134822653337,en,54
Odessa,Odessa,GPE,0.009507541724522867,0.2288199379237115,en,53
Miami,Miami,GPE,0.0449736027861028,0.3155611749361749,en,52
the Middle East,the Middle East,LOC,0.012040151515151509,0.1599273569023569,en,50
Italy,Italy,GPE,-0.018839844018415444,0.23013828763828764,en,49
Taiwan,Taiwan,GPE,0.029039299702564997,0.20938944842006063,en,49
the Black Sea,the Black Sea,LOC,-0.08311832987614237,0.4106458558802309,en,48
Crimea,Crimea,LOC,-0.012332608074795573,0.17210242303992299,en,48
America,America,GPE,0.06065912097162096,0.30243461399711397,en,48
Nepal,Nepal,GPE,-0.02097970027657527,0.2518139730639732,en,48
Japan,Japan,GPE,0.09877803657694961,0.33126682194616974,en,46
The United States,The United States,GPE,0.06279556041784302,0.35598390739695085,en,46
Nigeria,Nigeria,GPE,0.07995007615840953,0.2550092191758859,en,45
South Korea,South Korea,GPE,0.04756846240179576,0.29431303059080843,en,45
London,London,GPE,0.09467975206611569,0.3338197314049587,en,44
U.K.,U.K.,GPE,-0.0015452490016443512,0.12060513775630058,en,43
Norway,Norway,GPE,0.07619182900432901,0.27962527056277053,en,40
Mexico,Mexico,GPE,0.10895012626262626,0.2551597222222222,en,40
Brazil,Brazil,GPE,0.10342571009237678,0.4309831218164554,en,39
Iceland,Iceland,GPE,0.06924765049765051,0.33166717541717544,en,39
Oman,Oman,GPE,-0.015336515336515344,0.3062483812483813,en,39
Los Angeles,Los Angeles,GPE,0.04595823095823095,0.24615956865956862,en,37
Paraguay,Paraguay,GPE,0.15019792519792521,0.35623123123123135,en,37
LONDON,LONDON,GPE,0.01518013420295166,0.3384892767432449,en,36
Istanbul,Istanbul,GPE,0.07015594937469939,0.304171176046176,en,36
BEIJING,BEIJING,GPE,0.032694083694083685,0.23479169243454956,en,35
Hormuz,Hormuz,GPE,0.04590017825311943,0.26674518292165356,en,34
Ankara,Ankara,GPE,0.06157483930211202,0.3762610958065505,en,33
Berlin,Berlin,GPE,0.023867063492063488,0.2058961640211641,en,30
North Korea,North Korea,GPE,0.04881944444444444,0.1637731481481482,en,30
Paris,Paris,GPE,0.11892241379310342,0.3658237547892721,en,29
Morocco,Morocco,GPE,0.06264367816091956,0.2513505747126437,en,29
Egypt,Egypt,GPE,0.09580917594310454,0.23815063904349615,en,28
Romania,Romania,GPE,0.030667688792688795,0.1778748797498797,en,28
New York,New York,GPE,0.13935305435305434,0.4492147667147668,en,28
Belarus,Belarus,GPE,0.04130952380952381,0.18006448412698411,en,28
Texas,Texas,GPE,0.1377580033135589,0.3376628721073165,en,27
Niger,Niger,GPE,0.018637265512265515,0.1960380925658703,en,27
Africa,Africa,LOC,0.07329475308641975,0.30759773662551443,en,27
Middle East,Middle East,LOC,0.021924603174603177,0.21963183421516755,en,27
Gulf,Gulf,LOC,0.06595876345876345,0.20955627705627708,en,26
Belgium,Belgium,GPE,0.12100353535353534,0.34393333333333337,en,25
Lebanon,Lebanon,GPE,0.051401515151515136,0.1866161616161616,en,25
the Red Sea,the Red Sea,LOC,0.048090909090909094,0.18424747474747477,en,25
Qatar,Qatar,GPE,0.04830808080808082,0.24176767676767677,en,24
Mali,Mali,LOC,0.04347537878787879,0.2744863816738817,en,24
United States,United States,GPE,0.11137152777777777,0.21799768518518514,en,24
Cuba,Cuba,GPE,0.04070048309178744,0.21962560386473426,en,23
Laos,Laos,GPE,-0.04050724637681159,0.3360386473429951,en,23
Zaporizhzhia,Zaporizhzhia,GPE,0.0141897233201581,0.10727492314448837,en,23
Red Sea,Red Sea,LOC,-0.0032279314888010494,0.16653491436100132,en,23
the Caspian Sea,the Caspian Sea,LOC,0.02829545454545454,0.1817276021080369,en,23
Greenland,Greenland,GPE,0.025626147842056926,0.409135101010101,en,22
Sahel,Sahel,GPE,0.01642988324806506,0.26100485373212645,en,22
Kazakhstan,Kazakhstan,GPE,0.12916619425547995,0.39775888133030984,en,21
South Africa,South Africa,GPE,0.050306337181337174,0.25575637325637324,en,21
Hong Kong,Hong Kong,GPE,0.08137878787878787,0.35942929292929293,en,20
Manchester,Manchester,GPE,0.12914930555555554,0.39722222222222225,en,20
Iraq,Iraq,GPE,0.1740364167995747,0.31101807549175975,en,19
Asia,Asia,LOC,0.10168128654970761,0.39276315789473687,en,19
California,California,GPE,0.10116959064327484,0.32410552897395,en,19
Caspian Sea,Caspian Sea,LOC,-0.023670919723551297,0.218367889420521,en,19
DUBAI,DUBAI,GPE,0.021889952153110043,0.25015948963317386,en,19
Scotland,Scotland,GPE,0.060904771398192455,0.3066228070175439,en,19
West,West,LOC,0.10190390749601277,0.4007874800637959,en,19
Dubai,Dubai,GPE,0.13231080647747315,0.4098639169472503,en,18
Sweden,Sweden,GPE,0.22517676767676764,0.24916947250280583,en,18
Venezuela,Venezuela,GPE,0.08987967914438505,0.3294236482471776,en,17
Georgia,Georgia,GPE,0.03333333333333333,0.2871323529411765,en,17
Zambia,Zambia,GPE,0.10227864583333332,0.33354166666666674,en,16
Hungary,Hungary,GPE,-0.04289096320346321,0.1588406385281385,en,16
ISTANBUL,ISTANBUL,GPE,0.01851641414141414,0.23010101010101014,en,15
Portugal,Portugal,GPE,0.04015151515151515,0.3960016835016835,en,15
Houthis,Houthis,GPE,-0.0596969696969697,0.12545454545454546,en,15
Tokyo,Tokyo,GPE,0.11425757575757577,0.2357104377104377,en,15
Abuja,Abuja,GPE,0.051875,0.19680555555555557,en,15
the Soviet Union,the Soviet Union,GPE,-0.07520408163265306,0.23034438775510205,en,14
Kuwait,Kuwait,GPE,0.057224025974025976,0.30187590187590185,en,14
Uzbekistan,Uzbekistan,GPE,0.06150793650793651,0.4282738095238095,en,14
CAIRO,CAIRO,GPE,0.07368480725623583,0.3674886621315193,en,14
Ecuador,Ecuador,GPE,0.006926406926406932,0.3781385281385282,en,14
Pacific,Pacific,LOC,0.026608391608391607,0.3205322455322456,en,13
Colombia,Colombia,GPE,0.04518537018537018,0.4130952380952382,en,13
SEOUL,SEOUL,GPE,0.01511752136752136,0.28719729344729344,en,13
Tibet,Tibet,GPE,0.036306332556332546,0.39625971250971254,en,13
Syria,Syria,GPE,-0.010800310800310806,0.12076534576534578,en,13
Brussels,Brussels,GPE,0.033998168498168495,0.3754432234432234,en,13
Ireland,Ireland,GPE,-0.011217948717948715,0.1337912087912088,en,13
Warsaw,Warsaw,GPE,-0.02307692307692307,0.31373626373626373,en,13
St Petersburg,St Petersburg,GPE,0.08402777777777777,0.3199074074074074,en,12
Bosnia,Bosnia,GPE,0.03320391414141414,0.41104166666666675,en,12
Earth,Earth,LOC,0.06061507936507937,0.4678571428571429,en,12
Mideast,Mideast,LOC,0.036047979797979794,0.2544191919191919,en,12
the Sea of Azov,the Sea of Azov,LOC,0.15452861952861954,0.252996632996633,en,12
Pyongyang,Pyongyang,GPE,0.06931818181818182,0.21603535353535355,en,11
Bosnia and Herzegovina,Bosnia and Herzegovina,GPE,-0.0003535353535353558,0.37875,en,11
Myanmar,Myanmar,GPE,0.008522727272727276,0.09375,en,11
Chinas,Chinas,GPE,0.152577725304998,0.2829647120556211,en,11
Konstantinovka,Konstantinovka,GPE,-0.014343434343434346,0.15830447330447328,en,11
Ivory Coast,Ivory Coast,GPE,0.2503443526170799,0.5037878787878788,en,11
