,phrase,label,sentiment,subjectivity,language,count
first,first,ORDINAL,,,en,305
Russian,Russian,NORP,,,en,227
Iranian,Iranian,NORP,,,en,184
two,two,CARDINAL,,,en,161
Israeli,Israeli,NORP,,,en,148
Monday,Monday,DATE,,,en,145
World Cup,World Cup,EVENT,,,en,141
one,one,CARDINAL,,,en,140
Tuesday,Tuesday,DATE,,,en,139
Sunday,Sunday,DATE,,,en,115
Thursday,Thursday,DATE,,,en,115
Wednesday,Wednesday,DATE,,,en,109
Consent Framework,Consent Framework,WORK_OF_ART,,,en,107
Ukrainian,Ukrainian,NORP,,,en,105
2026,2026,DATE,,,en,104
Friday,Friday,DATE,,,en,90
three,three,CARDINAL,,,en,85
Chinese,Chinese,NORP,,,en,84
Saturday,Saturday,DATE,,,en,82
British,British,NORP,,,en,77
American,American,NORP,,,en,73
today,today,DATE,,,en,70
the Iran war,the Iran war,EVENT,,,en,69
second,second,ORDINAL,,,en,68
African,African,NORP,,,en,59
European,European,NORP,,,en,53
this week,this week,DATE,,,en,50
third,third,ORDINAL,,,en,47
Today,Today,DATE,,,en,44
North Korean,North Korean,NORP,,,en,43
four,four,CARDINAL,,,en,43
247,247,CARDINAL,,,en,43
251,251,CARDINAL,,,en,42
French,French,NORP,,,en,40
Indian,Indian,NORP,,,en,39
Turkish,Turkish,NORP,,,en,38
the World Cup,the World Cup,EVENT,,,en,36
years,years,DATE,,,en,36
2025,2025,DATE,,,en,36
1,1,CARDINAL,,,en,35
the 2026 World Cup,the 2026 World Cup,EVENT,,,en,33
Australian,Australian,NORP,,,en,33
First,First,ORDINAL,,,en,33
German,German,NORP,,,en,31
Two,Two,CARDINAL,,,en,31
2,2,CARDINAL,,,en,26
last year,last year,DATE,,,en,26
Lebanese,Lebanese,NORP,,,en,25
Asian,Asian,NORP,,,en,25
3,3,CARDINAL,,,en,25
Canadian,Canadian,NORP,,,en,23
night,night,TIME,,,en,23
two-week,two-week,DATE,,,en,23
months,months,DATE,,,en,22
May,May,DATE,,,en,22
10,10,CARDINAL,,,en,22
yesterday,yesterday,DATE,,,en,21
Americans,Americans,NORP,,,en,21
April,April,DATE,,,en,21
Italian,Italian,NORP,,,en,20
One,One,CARDINAL,,,en,20
six,six,CARDINAL,,,en,20
weeks,weeks,DATE,,,en,19
April 30,April 30,DATE,,,en,19
Irans,Irans,NORP,,,en,19
dozens,dozens,CARDINAL,,,en,19
morning,morning,TIME,,,en,19
Iranians,Iranians,NORP,,,en,19
5,5,CARDINAL,,,en,19
Syrian,Syrian,NORP,,,en,19
4,4,CARDINAL,,,en,18
nine,nine,CARDINAL,,,en,18
March,March,DATE,,,en,18
countrys,countrys,NORP,,,en,18
last week,last week,DATE,,,en,18
the 2026 FIFA World Cup,the 2026 FIFA World Cup,EVENT,,,en,17
summer,summer,DATE,,,en,17
Islamic,Islamic,NORP,,,en,17
Vatican,Vatican,FAC,1.0021103896103898,4.641233766233766,en,16
Jewish,Jewish,NORP,,,en,16
18,18,CARDINAL,,,en,15
South Korean,South Korean,NORP,,,en,15
the weekend,the weekend,DATE,,,en,15
Palestinian,Palestinian,NORP,,,en,15
annual,annual,DATE,,,en,15
Christian,Christian,NORP,,,en,15
decades,decades,DATE,,,en,15
2022,2022,DATE,,,en,14
The Fine Print,The Fine Print,WORK_OF_ART,,,en,14
five,five,CARDINAL,,,en,14
Western,Western,NORP,,,en,13
seven,seven,CARDINAL,,,en,13
Irish,Irish,NORP,,,en,13
Israels,Israels,NORP,,,en,13
FIFA World Cup,FIFA World Cup,EVENT,,,en,13
World Cup 2026,World Cup 2026,EVENT,,,en,13
hundreds,hundreds,CARDINAL,,,en,13
Thousands,Thousands,CARDINAL,,,en,13
Republicans,Republicans,NORP,,,en,13
year,year,DATE,,,en,13
Christians,Christians,NORP,,,en,13
days,days,DATE,,,en,12
Four,Four,CARDINAL,,,en,12
6,6,CARDINAL,,,en,12
the day,the day,DATE,,,en,12
Greek,Greek,NORP,,,en,12
May 1,May 1,DATE,,,en,12
2018,2018,DATE,,,en,12
2024,2024,DATE,,,en,12
Democrats,Democrats,NORP,,,en,12
Three,Three,CARDINAL,,,en,11
20,20,CARDINAL,,,en,11
September,September,DATE,,,en,11
7,7,CARDINAL,,,en,11
13,13,CARDINAL,,,en,11
Libyan,Libyan,NORP,,,en,11
this year,this year,DATE,,,en,11
48,48,CARDINAL,,,en,11
May 2026,May 2026,DATE,,,en,11
11,11,CARDINAL,,,en,10
12,12,CARDINAL,,,en,10
Somali,Somali,NORP,,,en,10
Republican,Republican,NORP,,,en,10
Iraqi,Iraqi,NORP,,,en,10
this month,this month,DATE,,,en,10
2017,2017,DATE,,,en,10
thousands,thousands,CARDINAL,,,en,10
fourth,fourth,ORDINAL,,,en,10
Hungarian,Hungarian,NORP,,,en,10
250,250,CARDINAL,,,en,10
hours,hours,TIME,,,en,10
Romanian,Romanian,NORP,,,en,10
half,half,CARDINAL,,,en,10
June,June,DATE,,,en,10
28,28,CARDINAL,,,en,9
North American,North American,NORP,,,en,9
10%,10%,PERCENT,,,en,9
