,phrase,label,sentiment,subjectivity,language,count,topicColor,keywordColor,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
Europe,Europe,LOC,0.037580716404973825,0.22884093171221884,en,101,#80d4f0,#80d4f0,EUROPE,,12217848,50.28762,15.1903,L,Czechia,WCE
the United States,the United States,GPE,0.04679975429975432,0.2753604578604579,en,74,#16c71d,#16c71d,SOUTH-AMERICA,,6255150,-14.60485,-57.65625,L,Brazil,SAM
Sputnik,Sputnik,GPE,0.050618465653842995,0.2683557781317217,en,53,#55091e,#55091e,POLAR,,6625906,-70.36667,163.36667,T,,EAN
the Strait of Hormuz,the Strait of Hormuz,LOC,0.0071013708513708584,0.2973683261183261,en,42,,,,,,,,,,
Black Sea,Black Sea,LOC,-0.06722943722943722,0.290960721377388,en,39,#6d9fee,#6d9fee,EUROPE-AFRICA,,10922499,41.25206,36.96073,L,Turkey,MED
Donetsk,Donetsk,GPE,0.12834356398809527,0.3312286086309525,en,32,#7ba6f0,#7ba6f0,EUROPE,,709717,48.023,37.80224,P,Ukraine,WCE
The United States,The United States,GPE,0.02262906846240179,0.23710718294051633,en,27,#16c71d,#16c71d,SOUTH-AMERICA,,6255150,-14.60485,-57.65625,L,Brazil,SAM
the Black Sea,the Black Sea,LOC,-0.07186097081930413,0.3741414141414142,en,27,#ceef74,#ceef74,NORTH-AMERICA,,5762871,44.47971,-103.78076,S,United States,CNA
the Middle East,the Middle East,LOC,0.018430510461760464,0.12937071608946607,en,24,#9fed62,#9fed62,NORTH-AMERICA,,12217091,35.8,-86.5,L,United States,ENA
Miami,Miami,GPE,0.00824565095398429,0.3025409004575671,en,18,#83eb4e,#83eb4e,NORTH-AMERICA,4039108-5,4164138,25.77427,-80.19366,P,United States,ENA
Odessa,Odessa,GPE,0.05575963718820863,0.30346938775510207,en,14,#78b2f0,#78b2f0,EUROPE,4043115-0,698740,46.48572,30.74383,P,Ukraine,WCE
the Soviet Union,the Soviet Union,GPE,-0.07520408163265306,0.23034438775510205,en,14,#8eee68,#8eee68,NORTH-AMERICA,,4138541,38.90344,-77.03942,S,United States,ENA
