,phrase,label,sentiment,subjectivity,language,count
Trump,Trump,ORG,0.022564615907937825,0.2450765647340992,en,292
Reuters,Reuters,ORG,0.03422236236984439,0.3078031470927156,en,278
NATO,NATO,ORG,0.026997505668934246,0.28168326197611904,en,175
the IAB Transparency &amp,the IAB Transparency &amp,ORG,-0.12400297619047618,0.3745684523809524,en,140
EU,EU,ORG,0.045356538810027165,0.21338390177149869,en,129
AP,AP,ORG,0.06514635750631992,0.2766469465510818,en,95
Kremlin,Kremlin,ORG,0.029544577721661056,0.29619668911335567,en,72
KYIV,KYIV,ORG,-0.01205325987144169,0.31435301062573795,en,55
Special Operation,Special Operation,ORG,0.1957398809523809,0.39120059523809547,en,50
"Getty Images
","Getty Images
",ORG,0.09016053391053391,0.3366462241462242,en,42
Wildberries,Wildberries,ORG,0.036635416666666656,0.20789583333333334,en,40
UN,UN,ORG,-0.003709320650110125,0.1820182558669401,en,38
BBC,BBC,ORG,0.03344516594516594,0.1806091670675004,en,36
Hamas,Hamas,ORG,0.050651041666666674,0.23124999999999998,en,32
Crypto Briefing,Crypto Briefing,ORG,0.15913487554112557,0.2696484938672439,en,32
the Russian Defense Ministry,the Russian Defense Ministry,ORG,-0.017336545729402873,0.12192554799697652,en,28
White House,White House,ORG,0.07753333333333334,0.2026,en,25
Apple,Apple,ORG,-0.003073737373737374,0.2801449494949495,en,25
Pentagon,Pentagon,ORG,0.028124999999999997,0.15972222222222224,en,24
State,State,ORG,0.016105317241680885,0.307043377497923,en,22
the Defense Ministry,the Defense Ministry,ORG,0.05316077441077441,0.2537968116539545,en,21
Bloomberg,Bloomberg,ORG,0.04122526283240569,0.2968478148835291,en,21
CIA,CIA,ORG,0.06075415812257918,0.26394395078605604,en,19
the White House,the White House,ORG,0.1047933791354844,0.2533004130372551,en,19
FIFA,FIFA,ORG,0.14332912457912458,0.21637485970819303,en,18
Foreign Ministry,Foreign Ministry,ORG,-0.06683234657499362,0.1439102686529157,en,17
AI,AI,ORG,0.04650369238604533,0.3759307359307359,en,17
Defense,Defense,ORG,0.03933823529411764,0.22808823529411767,en,17
the European Union,the European Union,ORG,0.01594771241830065,0.09437908496732027,en,17
Senate,Senate,ORG,0.06439393939393939,0.4555194805194805,en,14
Congress,Congress,ORG,0.05364357864357862,0.3194573283858998,en,14
Defense Ministry,Defense Ministry,ORG,0.03571428571428571,0.29464285714285715,en,14
US Army,US Army,ORG,-0.0108459595959596,0.3125108225108225,en,14
Defence,Defence,ORG,0.14285714285714285,0.2125,en,14
Burnham,Burnham,ORG,-0.04965034965034966,0.22937062937062938,en,13
British Steel,British Steel,ORG,0.004487179487179486,0.028846153846153848,en,13
Hezbollah,Hezbollah,ORG,0.04615384615384615,0.075,en,13
Google,Google,ORG,0.00534188034188034,0.29914529914529914,en,13
the United Nations,the United Nations,ORG,0.0023148148148148112,0.1599537037037037,en,12
the Russian Ministry of Defense,the Russian Ministry of Defense,ORG,0.005740740740740742,0.10629629629629629,en,12
NPR,NPR,ORG,0.01423611111111111,0.15312499999999998,en,12
USMNT,USMNT,ORG,0.03497474747474747,0.2701388888888889,en,12
House,House,ORG,-0.01830808080808081,0.07003367003367003,en,12
Crimea,Crimea,ORG,-0.027672176308539943,0.17371900826446282,en,11
Houthi,Houthi,ORG,0.08535353535353535,0.34040404040404043,en,11
The Russian Defense Ministry,The Russian Defense Ministry,ORG,0.05416584677948315,0.24771251475796932,en,11
Labour,Labour,ORG,0.14010724124360488,0.27734159779614326,en,11
EV,EV,ORG,-0.021212121212121213,0.31313131313131315,en,11
Ukraines,Ukraines,ORG,0.014338842975206626,0.2415695920241375,en,11
Nato,Nato,ORG,0.03696969696969697,0.23878787878787883,en,10
ASEAN,ASEAN,ORG,0.006375000000000003,0.13183928571428571,en,10
iPhone,iPhone,ORG,0.013999999999999995,0.19066666666666665,en,10
UFC,UFC,ORG,0.07617424242424242,0.17223484848484846,en,10
United Nations,United Nations,ORG,0.08172727272727273,0.3077575757575758,en,10
Tesla,Tesla,ORG,0.07473484848484849,0.3743939393939394,en,10
RT,RT,ORG,0.012374999999999997,0.23466666666666663,en,10
NASA,NASA,ORG,0.02570286195286195,0.3011489898989899,en,10
Amazon,Amazon,ORG,0.04763636363636364,0.20345454545454547,en,10
Brexit,Brexit,ORG,0.12341269841269839,0.20211640211640208,en,9
Starlink,Starlink,ORG,-0.006558641975308639,0.2169753086419753,en,9
Valve,Valve,ORG,-0.029166666666666667,0.15833333333333333,en,8
AFP,AFP,ORG,-0.171875,0.325,en,8
FPV,FPV,ORG,-0.009027777777777777,0.16597222222222222,en,8
Zelensky,Zelensky,ORG,0.11909722222222223,0.32048611111111114,en,8
the UN Security Council,the UN Security Council,ORG,0.18785511363636365,0.275,en,8
NBC News,NBC News,ORG,0.09519074675324674,0.22737418831168832,en,8
The White House,The White House,ORG,0.04847222222222222,0.1011111111111111,en,8
Fedorov,Fedorov,ORG,0.02421874999999999,0.28671875,en,8
Ceuta,Ceuta,ORG,0.09270833333333334,0.15885416666666669,en,8
Instagram,Instagram,ORG,0.2222222222222222,0.41111111111111104,en,8
U.N.,U.N.,ORG,-0.006249999999999992,0.34765625,en,8
UAF,UAF,ORG,-0.16666666666666669,0.18333333333333332,en,8
Free Streams,Free Streams,ORG,0.4119047619047619,0.6444444444444445,en,7
Business Insider,Business Insider,ORG,0.026082251082251078,0.18430735930735928,en,7
NYSE,NYSE,ORG,0.017478354978354975,0.19576118326118325,en,7
Security Council,Security Council,ORG,0.0994047619047619,0.2857142857142857,en,7
IOC,IOC,ORG,-0.19285714285714287,0.21428571428571427,en,7
IRGC,IRGC,ORG,-0.008928571428571428,0.11547619047619048,en,7
Arsenal,Arsenal,ORG,0.17857142857142858,0.18571428571428572,en,7
The European Union,The European Union,ORG,0.01666666666666667,0.025396825396825393,en,7
Chelsea,Chelsea,ORG,0.13714285714285715,0.625,en,7
NBC,NBC,ORG,-0.04429327286470145,0.29860166288737716,en,7
Xinhua,Xinhua,ORG,0.01333333333333333,0.18333333333333335,en,6
UAE,UAE,ORG,-0.044444444444444446,0.27685185185185185,en,6
Board of Peace,Board of Peace,ORG,0.0,0.16666666666666666,en,6
FSB,FSB,ORG,-0.007605820105820112,0.22335978835978834,en,6
LNG,LNG,ORG,0.07962962962962963,0.18981481481481485,en,6
ABC News,ABC News,ORG,0.11508838383838384,0.2868686868686869,en,6
Zelenskiy,Zelenskiy,ORG,-0.025000000000000005,0.18333333333333335,en,6
Microsoft,Microsoft,ORG,0.11724025974025976,0.24133838383838388,en,6
Nvidia,Nvidia,ORG,0.101984126984127,0.2958152958152958,en,6
The Sporting News,The Sporting News,ORG,0.08380681818181818,0.22708333333333333,en,6
FIGC,FIGC,ORG,-0.07777777777777778,0.13611111111111113,en,6
DW,DW,ORG,0.07777777777777778,0.34027777777777773,en,6
Greenland,Greenland,ORG,0.08333333333333333,0.08333333333333333,en,6
un,un,ORG,0.061742424242424244,0.10303030303030303,en,6
Ministry of Commerce,Ministry of Commerce,ORG,-0.011111111111111113,0.04907407407407408,en,6
Parliament,Parliament,ORG,-0.026452020202020202,0.38378427128427123,en,6
U.S. Central Command,U.S. Central Command,ORG,-0.0033333333333333327,0.14777777777777779,en,6
BYD,BYD,ORG,-0.029067460317460315,0.13799603174603173,en,6
IDF,IDF,ORG,-0.03333333333333333,0.03333333333333333,en,6
FDA,FDA,ORG,0.1875,0.23749999999999996,en,6
Elon Musk,Elon Musk,ORG,-0.04680555555555555,0.1972222222222222,en,6
National News',National News',ORG,0.03409090909090909,0.07575757575757576,en,6
Iran International,Iran International,ORG,-0.027777777777777776,0.05555555555555555,en,6
The Independent,The Independent,ORG,0.044886363636363634,0.1625,en,5
Axios,Axios,ORG,0.15099999999999997,0.18022222222222223,en,5
Getty Images,Getty Images,ORG,-0.15,0.3625,en,5
Facebook,Facebook,ORG,0.10666666666666666,0.21333333333333332,en,5
Warner Bros.,Warner Bros.,ORG,0.042272727272727274,0.2775757575757576,en,5
Klopp,Klopp,ORG,0.0,0.013333333333333332,en,5
SBU,SBU,ORG,0.1414285714285714,0.6071428571428571,en,5
Army,Army,ORG,0.25083333333333335,0.3716666666666667,en,5
GOP,GOP,ORG,0.11363636363636365,0.35003787878787873,en,5
Ministry of Finance,Ministry of Finance,ORG,-0.013333333333333336,0.0588888888888889,en,5
OSCE,OSCE,ORG,0.0,0.0,en,5
Al Jazeera,Al Jazeera,ORG,0.125,0.1,en,5
UN Security Council,UN Security Council,ORG,0.02708333333333333,0.09541666666666666,en,5
Eli Lilly and Company,Eli Lilly and Company,ORG,0.21333333333333332,0.2344444444444444,en,5
Starmer,Starmer,ORG,0.005000000000000002,0.25666666666666665,en,5
European Union,European Union,ORG,0.06654040404040404,0.15133838383838386,en,5
Coast Guard,Coast Guard,ORG,-0.054166666666666675,0.47416666666666674,en,5
RFE/RL,RFE/RL,ORG,0.05231818181818182,0.26472727272727276,en,5
the Italian Football Federation,the Italian Football Federation,ORG,0.027636363636363636,0.07545454545454545,en,5
Elon Musk's,Elon Musk's,ORG,0.1,0.44000000000000006,en,5
CNN,CNN,ORG,0.08666666666666666,0.2,en,5
Foundayo,Foundayo,ORG,0.12833333333333333,0.34277777777777774,en,5
Sberbank,Sberbank,ORG,-0.035833333333333335,0.09583333333333334,en,5
Ferrari,Ferrari,ORG,0.11363636363636365,0.36666666666666664,en,5
Global Times,Global Times,ORG,0.00535714285714285,0.07892857142857143,en,5
Inter Milan,Inter Milan,ORG,-0.10666666666666665,0.5599999999999999,en,5
Evian-les-Bains,Evian-les-Bains,ORG,0.1051190476190476,0.17333333333333334,en,5
Fire Point,Fire Point,ORG,-0.021666666666666667,0.3083333333333333,en,5
the Goethe-Institut,the Goethe-Institut,ORG,0.07333333333333333,0.2166666666666667,en,5
Ufa,Ufa,ORG,0.10208333333333333,0.21000000000000002,en,5
Diego Herrera Carcedo/Anadolu,Diego Herrera Carcedo/Anadolu,ORG,0.03196969696969697,0.23212121212121212,en,5
Sun,Sun,ORG,0.24500000000000002,0.44666666666666666,en,5
ICE,ICE,ORG,0.02784090909090909,0.1271780303030303,en,4
Loomer,Loomer,ORG,-0.05380952380952381,0.2905952380952381,en,4
CBS News,CBS News,ORG,-0.11666666666666667,0.1375,en,4
Meet the Press,Meet the Press,ORG,-0.025,0.025,en,4
the Turkish Statistical Institute,the Turkish Statistical Institute,ORG,0.0,0.0,en,4
HTX,HTX,ORG,-0.0031250000000000028,0.027777777777777776,en,4
Kanye West's,Kanye West's,ORG,0.0,0.0,en,4
the Federal Security Service,the Federal Security Service,ORG,-0.0023214285714285732,0.17285714285714285,en,4
NBA,NBA,ORG,0.22499999999999998,0.05,en,4
MAGA,MAGA,ORG,0.09375,0.13020833333333331,en,4
NewsNation,NewsNation,ORG,-0.053125000000000006,0.13125,en,4
the Reflecting Pool,the Reflecting Pool,ORG,0.3,0.44999999999999996,en,4
Arrow,Arrow,ORG,-0.03125,0.15625,en,4
News Summary-Intelligence Report,News Summary-Intelligence Report,ORG,-0.0140625,0.0,en,4
Samsung,Samsung,ORG,0.0,0.0,en,4
FOX,FOX,ORG,0.10833333333333331,0.25277777777777777,en,4
Tate brothers,Tate brothers,ORG,0.2577888257575758,0.3428030303030303,en,4
Luce,Luce,ORG,-0.09128787878787875,0.4722222222222222,en,4
ESET,ESET,ORG,0.36666666666666664,0.42500000000000004,en,4
United,United,ORG,0.09375,0.11875,en,4
Channel,Channel,ORG,0.125,0.13194444444444445,en,4
Ryanair,Ryanair,ORG,-0.015625,0.09375,en,4
Amtrak,Amtrak,ORG,0.1,0.1375,en,4
World Athletics,World Athletics,ORG,0.109375,0.046875,en,4
UAV,UAV,ORG,-0.058506944444444445,0.10885416666666667,en,4
"People's Daily Online
","People's Daily Online
",ORG,0.046875,0.0,en,4
