,phrase,label,sentiment,subjectivity,language,count
Pope Leo XIV,Pope Leo XIV,PERSON,0.11150709998536085,0.27063424096032784,en,69
Pope Leo,Pope Leo,PERSON,0.051312358276643995,0.18820200302343157,en,35
Leo XIV,Leo XIV,PERSON,0.09353811928811927,0.349761544011544,en,30
Cate Blanchett,Cate Blanchett,PERSON,0.09471726190476192,0.1263392857142857,en,16
Saint Pierre et Miquelon,Saint Pierre et Miquelon,PERSON,0.4,0.4,en,14
Donald Trump,Donald Trump,PERSON,0.09017094017094017,0.29358974358974355,en,13
Spike Lee,Spike Lee,PERSON,0.10545634920634922,0.1267857142857143,en,12
Queen Camilla,Queen Camilla,PERSON,0.14583333333333334,0.2037037037037037,en,9
Benjamin Netanyahu,Benjamin Netanyahu,PERSON,0.03796296296296296,0.22361111111111112,en,9
King Charles,King Charles,PERSON,0.20625000000000002,0.5194444444444445,en,8
Pope Francis,Pope Francis,PERSON,0.030555555555555558,0.2583333333333333,en,6
Catherine Connolly,Catherine Connolly,PERSON,0.09006565656565657,0.304,en,5
JD Vance,JD Vance,PERSON,0.07826599326599326,0.17092592592592593,en,5
David Attenborough,David Attenborough,PERSON,0.25,0.25,en,4
Judd Apatow,Judd Apatow,PERSON,0.0,0.0,en,4
Jessica Khine,Jessica Khine,PERSON,-0.009185606060606068,0.5086174242424243,en,4
Volodymyr Zelensky,Volodymyr Zelensky,PERSON,0.125,0.3125,en,4
Viggo Mortensen,Viggo Mortensen,PERSON,0.15625,0.22916666666666666,en,4
Fadli Zon,Fadli Zon,PERSON,0.05,0.05,en,4
Boualem Sansal,Boualem Sansal,PERSON,-0.011111111111111112,0.0,en,3
Queen Camilla’s,Queen Camilla’s,PERSON,0.2611111111111111,0.3833333333333333,en,3
Chris Pine,Chris Pine,PERSON,0.2916666666666667,0.4166666666666667,en,3
Lough Neagh,Lough Neagh,PERSON,0.3541666666666667,0.7583333333333333,en,3
Anne Jakrajutatip,Anne Jakrajutatip,PERSON,0.0,0.0,en,3
